ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YBR160W,CDC28,cdc28-4,tsa150-37C,244,109,0.4467213114754098,1.0,0.0275229357798165,0.055045871559633,0.1192660550458715,0.0,0.0,0.3119266055045872,0.091743119266055,0.0,0.2201834862385321,0.1743119266055046
YDR498C,SEC20,sec20-1,tsa55-37C,362,208,0.574585635359116,1.0,0.0192307692307692,0.0673076923076923,0.0096153846153846,0.4230769230769231,0.0048076923076923,0.125,0.0288461538461538,0.0,0.2884615384615384,0.0336538461538461
YGR009C,SEC9,sec9-4,tsa57-37C,521,332,0.6372360844529751,1.0,0.0240963855421686,0.0542168674698795,0.0843373493975903,0.1415662650602409,0.0,0.1656626506024096,0.0662650602409638,0.0,0.4427710843373494,0.0210843373493975
YDR473C,PRP3,prp3-1,tsa58-37C,907,275,0.3031973539140022,1.0,0.1236363636363636,0.0036363636363636,0.029090909090909,0.1927272727272727,0.0,0.2654545454545454,0.069090909090909,0.0,0.2581818181818182,0.0581818181818181
YBR109C,CMD1,cmd1-1,tsa154-37C,531,141,0.2655367231638418,1.0,0.0921985815602836,0.0,0.1276595744680851,0.0496453900709219,0.0,0.2340425531914893,0.0780141843971631,0.0,0.2836879432624113,0.1347517730496454
YPL124W,SPC29,spc29-3,tsa707-37C,250,104,0.416,1.0,0.048076923076923,0.0096153846153846,0.0576923076923076,0.0096153846153846,0.0,0.125,0.3653846153846153,0.0,0.0673076923076923,0.3173076923076923
YMR013C,SEC59,sec59-ts,tsa422-37C,988,329,0.332995951417004,1.0,0.0729483282674772,0.0,0.0820668693009118,0.2036474164133738,0.0,0.121580547112462,0.1914893617021276,0.0,0.2583586626139817,0.0699088145896656
YOR057W,SGT1,sgt1-5,tsa427-37C,377,242,0.6419098143236074,1.0,0.012396694214876,0.0165289256198347,0.2231404958677686,0.0041322314049586,0.0,0.1115702479338843,0.1363636363636363,0.0,0.396694214876033,0.0991735537190082
YOR122C,PFY1,pfy1-14,tsa429-37C,718,146,0.2033426183844011,1.0,0.1986301369863013,0.0,0.1095890410958904,0.047945205479452,0.0,0.1027397260273972,0.3219178082191781,0.0,0.0890410958904109,0.1301369863013698
YGR156W,PTI1,pti1-ts7-supp1,tsa477-37C,1024,248,0.2421875,1.0,0.0685483870967741,0.0120967741935483,0.0685483870967741,0.1854838709677419,0.0,0.1653225806451612,0.0967741935483871,0.0,0.1935483870967742,0.2096774193548387
YKL193C,SDS22,sds22-6,tsa573-37C,833,199,0.2388955582232893,1.0,0.2462311557788944,0.0050251256281407,0.1055276381909547,0.0753768844221105,0.0,0.100502512562814,0.1407035175879397,0.0,0.185929648241206,0.1407035175879397
YDR243C,PRP28,prp28-101,tsa574-37C,999,363,0.3633633633633634,1.0,0.1212121212121212,0.0,0.0661157024793388,0.1046831955922865,0.0,0.1515151515151515,0.2947658402203856,0.0,0.162534435261708,0.0991735537190082
YDR062W,LCB2,lcb2-2,tsa575-37C,1241,481,0.3875906526994359,1.0,0.1122661122661122,0.002079002079002,0.1808731808731808,0.0249480249480249,0.0,0.1413721413721413,0.1683991683991684,0.0,0.2182952182952183,0.1517671517671517
YGR075C,PRP38,prp38-1,tsa480-37C,920,386,0.4195652173913043,1.0,0.1269430051813471,0.005181347150259,0.0569948186528497,0.1373056994818652,0.0,0.1580310880829015,0.1839378238341968,0.0,0.2409326424870466,0.0906735751295336
